"Case_ID","Case_Code","Case_Name","Category","Linked_Pref_Cards","Date_Updated","Pre_Incision_Critical_Steps","Bed_Position_Drapes","Mayo_1_Setup","Mayo_2_Setup","Trays_Equipment","Circulator_Energy_Notes","Disposables_Sutures","Dressing_Meds_Bolster","Rep_Contacts_Notes"
"R4","R4","Second-Stage Urethroplasty","Urethral & Genital Recon","M-75978","11/13/25","Antibiotic: Unasyn (no redosing) | Confirm SCDs in place & functioning","Trumpf (preferred) or Skytron | May use 2 pillows (ask) | Laparotomy drape | Ioban with pockets (not strips)","Adson w teeth (2) | Gerald w teeth (2) | Gerald without teeth (2) | Black mets | Kidney basin for hooks & bovie | Tonsil | Hemostats (small roll)","None","Uro Minor | Uro Recon | Flexible cystoscope & tower (separate table) | URO suture cart | Bipolar pedal left of surgeon | Neptune","Shave with clippers and blue razor | Chloraprep (2) | Cut/Coag/Bipolar: 20/20/20 | Music: Volume 40%, doc computer at 100%","Laparotomy drape (OPEN) | Ioban with pockets (not strips) (OPEN) | 4-0 vicryl SH (3) (OPEN) | 20mL syringe, 18g needle (OPEN) | Stapler (1) (OPEN) | 16Fr Foley (open 1, HA 1) | Bipolar cord (OPEN) | Bayonet insulated bipolar #20-13701 Lawson 013263 (OPEN) | Suprapubic tube kit: One step introducer G26655, 11 blade, 20g spinal needle (yellow), 16 Foley/bag, 10mL syringe (2) | Needle tip bovie #E1651 Lawson 100014 (HA)","Dressing: Kerlix (2 HA), Mesh panties or jock strap (based on size, HA), Kling (HA) | Meds: Irrisept (1), 0.25% marcaine with epi 60mL, Bottle H2O (2)","Dr. Figler Cell: 216-339-0230"
"R3_BURIED","R3-B","Buried Penis Repair","Urethral & Genital Recon","M-68613","11/13/25","Antibiotic: Unasyn (no redosing) | Confirm SCDs in place & functioning","Trumpf (preferred) or Skytron | 2 pillows | Universal drape | Ioban strip 6650EZ, 3in strips","Adson w teeth (2) | Gerald w teeth (2) | Gerald without teeth (2) | Black mets | Kidney basin for hooks & bovie | Tonsil | Hemostats (small roll)","None","Uro Minor | Dermatome | Mesher (HA) | Neptune | URO suture cart | Bipolar pedal left of surgeon | Flexible cystoscope & tower (unlikely, ask) | Mini-basket (blue wrap) - HA","Shave with clippers and blue razor | Chloraprep (2) | Cut/Coag/Bipolar: 30/30/20 | Music: Volume 40%, doc computer at 100%","Universal drape (OPEN) | Ioban strip 6650EZ, 3in strips (OPEN) | 2-0 Vicryl SH (1) (OPEN) | 20mL syringe, 18g needle (OPEN) | Stapler (1) (OPEN) | 16Fr Foley (open 1, HA 1) | Bipolar cord (OPEN) | Bayonet insulated bipolar #20-13701 Lawson 013263 (OPEN) | Needle tip bovie #E1651 Lawson 100014 (HA)","Dressing: Kerlix (3-4), Mesh panties or jock strap (based on size, HA), Kling (1), Xeroform 5x9 (2) | Meds: Irrisept (1), 0.25% marcaine with epi 60mL, 200mL mineral oil (open 100mL, HA 100mL)","Dr. Figler Cell: 216-339-0230"
"R4_AUS","R4-AUS","Artificial Urinary Sphincter (AUS)","Prosthesis & Implants","M-68103","11/13/25","Antibiotic: Unasyn (no redosing) | Complete paralysis (zero twitches) until skin closure | No Trendelenburg | Confirm Lovenox | Confirm SCDs in place & functioning","Trumpf (preferred) or Skytron | Gel pad under torso | Allen Yellofin Elite stirrups (2 brackets) | Ioban strip 6640EZ (1/2) for hips | Lithotomy drape","Adson w teeth (2) | Gerald w teeth (2) | Gerald without teeth (2) | Black mets | Kidney basin for hooks & bovie | Tonsil | Hemostats (small roll) | Sterile Implant Prep on Mayo: (1) Clean with super sponge + alcohol, (2) Shampoo with chlorhexidine + H2O, (3) Sterilize Chloraprep x 2, (4) Chloraprep x 1 after draping","None","Uro Minor | Perineal bookwalter | AUS tray | Flexible cystoscope & tower (separate prep table) | URO suture cart | Sitting stools (4) | Neptune","Shave with clippers and blue razor | Chloraprep (2) | Cut/Coag/Bipolar: 30/30/20 | Music: Volume 40%, doc computer at 100% | Write lithotomy time on board (ask surgeon) | Grounding pad *after* positioning | Bookwalter bracket 'spinner up', near armboard","Lithotomy drape (OPEN) | Ioban strip 6650EZ, 3in strips (5) (OPEN) | 4-0 vicryl SH (3) (OPEN) | Blue hooks (8) (OPEN) | 20mL syringe, 18g needle (OPEN) | Stapler (1) (OPEN) | 12Fr foley (HA) | Bipolar cord (HA) | Bayonet insulated bipolar #20-13701 Lawson 013263 (HA) | Two suctions (one in pack) | On/off suction","Dressing: Kerlix (2), Mesh panties or jock strap (based on size) | Meds: Irrisept (1), 0.25% marcaine with epi 60mL, Bottle H2O (2), 1L sterile H2O for cysto","Boston Scientific Rep: Will Gadd (919-368-5668) | Dr. Figler Cell: 216-339-0230"
"R5","R5","Open Suprapubic Tube Creation","Urethral & Genital Recon","M-75975","11/13/25","Antibiotic: Unasyn (no redosing) | Confirm SCDs in place & functioning","Trumpf (preferred) or Skytron | Laparotomy drape | Ioban with pockets","Adson w teeth (2) | Gerald w teeth (2) | Gerald without teeth (2) | Black mets | Kidney basin for sharps | Tonsil | Hemostats (small roll)","None","Uro Minor | Flexible cystoscope & tower (separate table) | URO suture cart | Neptune","Shave with clippers and blue razor | Super sponge + alcohol | Chloraprep (2) | Cut/Coag/Bipolar: 30/30/20 | Music: Volume 40%, doc computer at 100%","Laparotomy drape (OPEN) | Ioban with pockets (OPEN) | 20mL syringe, 18g needle (OPEN) | Stapler (1) (OPEN) | 18Fr Foley (OPEN) | 0.038in zip wire (HA) | 5-French ureteral catheter (HA)","Dressing: Kerlix (2), Mesh panties or jock strap (based on size) | Meds: Irrisept (1), 0.25% marcaine with epi 60mL, Bottle H2O (2)","Dr. Figler Cell: 216-339-0230"
"R8","R8","Endoscopic Realignment","Endo & General Uro","M-67813","11/13/25","Antibiotic: Unasyn (no redosing) | Confirm SCDs in place & functioning","Trumpf | Supine | Laparotomy drape | Ioban with pockets","Peel pack hemostat | Flexible cystoscopes (x2) on separate table","None","Peel pack hemostat | Flexible cystoscope & tower (x2) | C-arm","Chloraprep (1) | Music: Volume 40%, doc computer at 100% | C-arm: see drawing for position of C-arm and monitors","Laparotomy drape (OPEN) | Ioban with pockets (OPEN) | 16Fr Foley (HA 1) | Irrigation tubing 2C4041 (OPEN) | Glidewire (HA 1) | 10cc syringe (HA 1) | C-arm drape (1013)","Meds: 1,000mL bag of H2O, Lube (HA), Omnipaque (Do not mix/dilute)","Dr. Figler Cell: 216-339-0230"
"R9","R9","STSG (Split-Thickness Skin Graft) - Supine","Urethral & Genital Recon","M-68613","11/13/25","Antibiotic: Unasyn (no redosing) | Confirm SCDs in place & functioning","Trumpf (preferred) or Skytron | 2 pillows | Universal drape | 3/4 drape | Ioban strip 6650EZ, 3in strips","Adson w teeth (2) | Gerald w teeth (2) | Gerald without teeth (2) | Black mets | Kidney basin for hooks & bovie | Tonsil | Hemostats (small roll)","None","Uro Minor | Dermatome | Mesher (HA) | Neptune | URO suture cart | Bipolar pedal left of surgeon | Flexible cystoscope & tower (unlikely, ask)","Shave with clippers and blue razor | Chloraprep (2) | Cut/Coag/Bipolar: 30/30/20 | Music: Volume 40%, doc computer at 100%","Universal drape (OPEN) | Ioban strip 6650EZ, 3in strips (OPEN) | 3/4 drape (OPEN) | 20mL syringe, 18g needle (OPEN) | Stapler (1) (OPEN) | 16Fr Foley (HA 1) | Bipolar cord (OPEN) | Bayonet insulated bipolar #20-13701 Lawson 013263 (OPEN) | Needle tip bovie #E1651 Lawson 100014 (HA)","Dressing: Kerlix (3-4), Mesh panties or jock strap (based on size, HA), Kling (1), Xeroform 5x9 (2) | Meds: Irrisept (1), 0.25% marcaine with epi 60mL, 200mL mineral oil (100 open, 100 HA)","Dr. Figler Cell: 216-339-0230"
"R10","R10","STSG (Split-Thickness Skin Graft) - Lithotomy","Urethral & Genital Recon","M-68613","11/13/25","Antibiotic: Unasyn (no redosing) | Confirm SCDs in place & functioning","Trumpf (preferred) or Skytron | Gel pad under torso | Allen Yellofin Elite stirrups (2 brackets) | Lithotomy drape | Leggings (2) | Ioban strip 6650EZ, 3in strips","Adson w teeth (2) | Gerald w teeth (2) | Gerald without teeth (2) | Black mets | Kidney basin for hooks & bovie | Tonsil | Hemostats (small roll)","None","Uro Minor | Dermatome | Mesher (HA) | Neptune | URO suture cart | Bipolar pedal left of surgeon | Flexible cystoscope & tower (unlikely, ask) | Mini-basket (blue wrap) - HA","Shave with clippers and blue razor | Chloraprep (2) | Cut/Coag/Bipolar: 30/30/20 | Music: Volume 40%, doc computer at 100%","Lithotomy drape (OPEN) | Ioban strip 6650EZ, 3in strips (OPEN) | Leggings (2) (OPEN) | 20mL syringe, 18g needle (OPEN) | Stapler (1) (OPEN) | 16Fr Foley (HA 1) | Bipolar cord (OPEN) | Bayonet insulated bipolar #20-13701 Lawson 013263 (OPEN)","Dressing: Kerlix (3-4), Mesh panties or jock strap (based on size, HA), Kling (1), Xeroform 5x9 (2) | Meds: Irrisept (1), 0.25% marcaine with epi 60mL, 200mL mineral oil (100 open, 100 HA)","Dr. Figler Cell: 216-339-0230"
"R11","R11","Mohs Reconstruction","Urethral & Genital Recon","M-68613","11/13/25","Antibiotic: Unasyn (no redosing) | Confirm SCDs in place & functioning","Trumpf (preferred) or Skytron | 2 pillows | Universal drape | 3/4 drape | Ioban strip 6640EZ, 3in strips","Adson w teeth (2) | Gerald w teeth (2) | Gerald without teeth (2) | Black mets | Kidney basin for hooks & bovie | Tonsil | Hemostats (small roll)","None","Uro Minor | Dermatome | Mesher (HA) | Neptune | URO suture cart | Bipolar pedal left of surgeon | Flexible cystoscope & tower (ask)","Shave with clippers and blue razor | Chloraprep (2) | Cut/Coag/Bipolar: 30/30/20 | Music: Volume 40%, doc computer at 100%","Universal drape (OPEN) | Ioban strip 6640EZ, 3in strips (OPEN) | 3/4 drape (OPEN) | 20mL syringe, 18g needle (OPEN) | Stapler (1) (OPEN) | 16Fr Foley (HA 1) | Bipolar cord (OPEN) | Bayonet insulated bipolar #20-13701 Lawson 013263 (OPEN) | Needle tip bovie #E1651 Lawson 100014 (HA)","Dressing: Kerlix (3-4), Mesh panties or jock strap (based on size, HA), Kling (1), Xeroform 5x9 (2) | Meds: Irrisept (1), 0.25% marcaine with epi 60mL, 200mL mineral oil","Dr. Figler Cell: 216-339-0230"
"R12","R12","Advance XP Male Sling","Prosthesis & Implants","M-67342","11/13/25","Antibiotic: Unasyn (no redosing) | Confirm SCDs in place & functioning","Trumpf (preferred) or Skytron | Gel pad under torso | Allen Yellofin Elite stirrups (2 brackets) | Lithotomy drape | Ioban strip 6650EZ, 3in strips","Adson w teeth (2) | Gerald w teeth (2) | Gerald without teeth (2) | Black mets | Kidney basin for hooks & bovie | Tonsil | Hemostats (small roll) | Sterile Implant Prep on Mayo: (1) Super sponge + alcohol, (2) Shampoo chlorhexidine + H2O, (3) Chloraprep x 2, (4) Chloraprep x 1 after draping","None","Uro Minor | Flexible cystoscope & tower | URO suture cart | Bipolar pedal left of surgeon | Neptune","Shave with clippers and blue razor | Chloraprep (2) | Cut/Coag/Bipolar: 30/30/20 | Music: Volume 40%, doc computer at 100%","Implant: Boston Scientific Advance XP | Lithotomy drape (OPEN) | Ioban strip 6650EZ, 3in strips (OPEN) | 20mL syringe, 18g needle (OPEN) | Stapler (1) (OPEN) | 16Fr Foley (HA 1) | Bipolar cord (OPEN) | Bayonet insulated bipolar #20-13701 Lawson 013263 (OPEN)","Dressing: Kerlix (3-4), Mesh panties or jock strap (based on size, HA), Kling (1), Xeroform 5x9 (2) | Meds: Irrisept (1), 0.25% marcaine with epi 60mL","Boston Scientific Rep: Will Gadd (919-368-5668) | Dr. Figler Cell: 216-339-0230"
"R13","13","Penile Plication","Urethral & Genital Recon","M-68613, M-75053","11/13/25","Antibiotic: Ancef | Confirm SCDs in place & functioning","Trumpf (preferred) or Skytron | Laparotomy drape | Ioban with pockets | 3/4 drape","Adson w teeth (2) | Gerald w teeth (2) | Gerald without teeth (2) | Black mets | Kidney basin for hooks & bovie | Tonsil | Hemostats (small roll)","None","Uro Minor | Neptune | URO suture cart | Bipolar pedal left of surgeon | Flexible cystoscope on separate table (if needed)","Shave with clippers and blue razor | Chloraprep (2) | Cut/Coag/Bipolar: 30/30/20 | Music: Volume 40%, doc computer at 100%","Laparotomy drape (OPEN) | Ioban with pockets (OPEN) | 3/4 drape (OPEN) | 20mL syringe, 18g needle (OPEN) | 50mL syringe (local) | Stapler (1) (OPEN) | Bipolar cord (OPEN) | Bayonet insulated bipolar #20-13701 Lawson 013263 (OPEN)","Dressing: Kling (1), Kerlix (1) | Meds: Irrisept (1), 0.25% marcaine with epi 60mL, Papaverine 60mg/2mL","Dr. Figler Cell: 216-339-0230"
"R14","R14","Inflatable Penile Prosthesis (IPP - Cis-gender)","Prosthesis & Implants","M-67389","11/13/25","Antibiotic: Unasyn (no redosing) | Confirm SCDs in place & functioning | Confirm rep & implants before rolling into room!","Trumpf (preferred) or Skytron | 2 pillows | Laparotomy drape | Ioban with pockets | 3/4 drape","Adson w teeth (2) | Gerald w teeth (2) | Black mets | Kidney basin for hooks & bovie | Tonsil | Hemostats (small roll) | Sterile Implant Prep: (1) Clean with super sponge + alcohol, (2) Shampoo with chlorhexidine + H2O, (3) Sterilize Chloraprep x 2, (4) Chloraprep x 1 after draping","None","Uro Minor | Uro penile extras | Neptune | URO suture cart | Flexible cystoscope & tower (unlikely, ask) | SKW Deep Scrotal Retraction 72403867","Shave with clippers and blue razor | Chloraprep (2) | Cut/Coag/Bipolar: 30/30/20 | Music: Volume 40%, doc computer at 100%","Laparotomy drape (OPEN) | Ioban with pockets (OPEN) | 3/4 drape (OPEN) | 20mL syringe, 18g needle (OPEN) | 50mL syringe (local) | Stapler (1) (OPEN) | Bipolar cord (HA) | Bayonet insulated bipolar #20-13701 Lawson 013263 (HA) | Needle tip bovie #E1651 Lawson 100014 (HA)","Dressing: Kerlix (3-4), Mesh panties or jock strap (based on size, HA), Kling (1), Xeroform 5x9 (2) | Meds: Irrisept (1), 0.25% marcaine with epi 60mL","Boston Scientific Rep: Will Gadd (919-368-5668) | Dr. Figler Cell: 216-339-0230"
"R15","R15","Hidradenitis Suppurativa Excision (Lithotomy)","Urethral & Genital Recon","M-77941","1/17/26","Antibiotic: Unasyn (no redosing) | Confirm SCDs in place & functioning","Trumpf (preferred) or Skytron | Gel pad under torso | Allen Yellofin Elite stirrups (2 brackets) | Lithotomy drape | Ioban strip 6650EZ, 3in strips","Adson w teeth (2) | Gerald w teeth (2) | Gerald without teeth (2) | Black mets | Kidney basin for hooks & bovie | Tonsil | Hemostats (small roll)","None","Uro Minor | Neptune | URO suture cart | Bipolar pedal left of surgeon | Flexible cystoscope & tower","Shave with clippers and blue razor | Chloraprep (2) | Cut/Coag/Bipolar: 30/30/20 | Music: Volume 40%, doc computer at 100%","Lithotomy drape (OPEN) | Ioban strip 6650EZ, 3in strips (OPEN) | 20mL syringe, 18g needle (OPEN) | 50mL syringe (local) | Stapler (1) (OPEN) | 16Fr Foley (HA 1) | Bipolar cord (HA) | Bayonet insulated bipolar #20-13701 Lawson 013263 (HA) | Ligasure small jaw","Dressing: Kerlix (3-4), Mesh panties or jock strap (based on size, HA), Kling (1), Xeroform 5x9 (2) | Meds: Irrisept (1), 0.25% marcaine with epi 60mL","Dr. Figler Cell: 216-339-0230"
"R16","R16","Hidradenitis Suppurativa Excision (Supine)","Urethral & Genital Recon","M-77941","1/17/26","Antibiotic: Unasyn (no redosing) | Confirm SCDs in place & functioning","Trumpf (preferred) or Skytron | 2 pillows (sometimes, ask) | Laparotomy drape","Adson w teeth (2) | Gerald w teeth (2) | Black mets | Kidney basin for hooks & bovie | Tonsil | Hemostats (small roll)","None","Uro Minor | Neptune | URO suture cart | Flexible cystoscope on separate table (if needed)","Shave with clippers and blue razor | Chloraprep (2) | Cut/Coag/Bipolar: 30/30/20 | Music: Volume 40%, doc computer at 100%","Laparotomy drape (OPEN) | 20mL syringe, 18g needle (OPEN) | 50mL syringe (local) | Stapler (1) (OPEN) | 16Fr Foley (HA 1) | Bipolar cord (HA) | Bayonet insulated bipolar #20-13701 Lawson 013263 (HA) | Needle tip bovie #E1651 Lawson 100014 (HA) | Ligasure small jaw","Dressing: Kerlix (3-4), Mesh panties or jock strap (based on size, HA) | Meds: Irrisept (HA 1), 0.25% marcaine with epi 60mL","Dr. Figler Cell: 216-339-0230"
"R17","R17","Vaginoplasty Stage 2 / Revision","Gender Affirming","M-67342, M-91325","11/13/25","Antibiotic: Unasyn (no redosing) | Confirm SCDs in place & functioning","Trumpf (preferred) or Skytron | Gel pad under torso | Allen Yellofin Elite stirrups (2 brackets) | Lithotomy drape | Ioban strip 6650EZ, 3in strips","Adson w teeth (2) | Gerald w teeth (2) | Gerald without teeth (2) | Black mets | Kidney basin for hooks & bovie | Tonsil | Hemostats (small roll)","None","Uro Minor | Neptune | URO suture cart | Bipolar pedal left of surgeon | Flexible cystoscope & tower","Shave with clippers and blue razor | Chloraprep (2) | Cut/Coag/Bipolar: 30/30/20 | Music: Volume 40%, doc computer at 100%","Lithotomy drape (OPEN) | Ioban strip 6650EZ, 3in strips (OPEN) | 20mL syringe, 18g needle (OPEN) | 50mL syringe (local) | Stapler (1) (OPEN) | 16Fr Foley (HA 1) | Bipolar cord (HA) | Bayonet insulated bipolar #20-13701 Lawson 013263 (HA)","Dressing: Kerlix (3-4), Mesh panties or jock strap (based on size, HA), Kling (1), Xeroform 5x9 (2) | Meds: Irrisept (1), 0.25% marcaine with epi 60mL","Dr. Figler Cell: 216-339-0230"
"G1","G1","Rigid Cysto +/- Stent / URS / TURBT","Endo & General Uro","M-67904, M-667314","11/13/25","Antibiotic: Unasyn (no redosing) | Confirm SCDs in place & functioning","Trumpf (preferred) or Skytron | Gel pad under torso | Allen Yellofin Elite stirrups (2 brackets) | Lithotomy drape | Ioban strip 6640EZ, 3in strips","Standard cysto setup | Cysto pack","None","Rigid cysto | Neptune","Chloraprep (1) | Music: Volume 40%, doc computer at 100%","Lithotomy drape (OPEN) | Ioban strip 6640EZ, 3in strips (OPEN) | 16Fr Foley (HA 1) | Glidewire straight (HA 1) | 5-French ureteral catheter (HA 1) | JJ stent (ask)","Meds: Contrast (dilute 1:1)","Dr. Figler Cell: 216-339-0230"
"G2","G2","Minor Supine","Endo & General Uro","M-75977","11/13/25","Antibiotic: Unasyn (no redosing) | Confirm SCDs in place & functioning","Trumpf (preferred) or Skytron | 2 pillows (sometimes, ask) | Laparotomy drape","Adson w teeth (2) | Gerald w teeth (2) | Black mets | Kidney basin for hooks & bovie | Tonsil | Hemostats (small roll)","None","Uro Minor | Neptune | URO suture cart | Flexible cysto on separate table (if needed)","Shave with clippers and blue razor | Chloraprep (2) | Cut/Coag/Bipolar: 30/30/20 | Music: Volume 40%, doc computer at 100%","Laparotomy drape (OPEN) | 20mL syringe, 18g needle (OPEN) | 50mL syringe (local) | Stapler (1) (OPEN) | 16Fr Foley (HA 1) | Bipolar cord (HA) | Bayonet insulated bipolar #20-13701 Lawson 013263 (HA) | Needle tip bovie #E1651 Lawson 100014 (HA)","Dressing: Kerlix (3-4), Mesh panties or jock strap (based on size, HA) | Meds: Irrisept (HA 1), 0.25% marcaine with epi 60mL","Dr. Figler Cell: 216-339-0230"
"G3","G3","Minor Lithotomy","Endo & General Uro","M-67342","11/13/25","Antibiotic: Unasyn (no redosing) | Confirm SCDs in place & functioning","Trumpf (preferred) or Skytron | Gel pad under torso | Allen Yellofin Elite stirrups (2 brackets) | Lithotomy drape | Ioban strip 6650EZ, 3in strips","Adson w teeth (2) | Gerald w teeth (2) | Gerald without teeth (2) | Black mets | Kidney basin for hooks & bovie | Tonsil | Hemostats (small roll)","None","Uro Minor | Neptune | URO suture cart | Bipolar pedal left of surgeon | Flexible cystoscope & tower","Shave with clippers and blue razor | Chloraprep (2) | Cut/Coag/Bipolar: 30/30/20 | Music: Volume 40%, doc computer at 100%","Lithotomy drape (OPEN) | Ioban strip 6650EZ, 3in strips (OPEN) | 20mL syringe, 18g needle (OPEN) | 50mL syringe (local) | Stapler (1) (OPEN) | 16Fr Foley (HA 1) | Bipolar cord (HA) | Bayonet insulated bipolar #20-13701 Lawson 013263 (HA)","Dressing: Kerlix (3-4), Mesh panties or jock strap (based on size, HA), Kling (1), Xeroform 5x9 (2) | Meds: Irrisept (1), 0.25% marcaine with epi 60mL","Dr. Figler Cell: 216-339-0230"
"G4","G4","Cysto / Dilation (NO RUG)","Endo & General Uro","M-67813","11/13/25","Antibiotic: Unasyn (no redosing) | Confirm SCDs in place & functioning","Trumpf (preferred) or Skytron | 2 pillows | Orange medium gel for bump | Supine | Laparotomy drape","Flexible cysto on separate table | Peel pack hemostat","None","Peel pack hemostat | Flexible cystoscope & tower","Chloraprep (1) | Music: Volume 40%, doc computer at 100%","Laparotomy drape (OPEN) | 16Fr Foley (HA 1) | Irrigation tubing 2C4041 (OPEN) | Glidewire (HA 1) | 5Fr ureteral catheter G15944 (HA 1) | 10cc syringe (HA 1) | 4cm 30-French Balloon M0062251050 (HA) | 12cm 30-French Balloon (HA) | Encore Inflation Device M0067101140 (HA)","Meds: 1,000mL bag of H2O, Lube (HA)","Dr. Figler Cell: 216-339-0230"
"G5","G5","Cysto / Dilation (+RUG) & Optilume","Endo & General Uro","M-67813, M-110989","11/13/25","Antibiotic: Unasyn (no redosing) | Confirm SCDs in place & functioning","Trumpf (preferred) or Skytron | 2 pillows | Orange medium gel for bump | Supine with bump | Laparotomy drape | Patient at end of bed, C-arm under pelvis","Flexible cysto on separate table | Peel pack hemostat","None","Peel pack hemostat | Flexible cystoscope & tower | C-arm tower","Chloraprep (1) | Music: Volume 40%, doc computer at 100% | C-arm drape (1013)","Laparotomy drape (OPEN) | 16Fr Foley (HA 1) | 8Fr Foley (1) (OPEN) | Irrigation tubing 2C4041 (OPEN) | Glidewire (HA 1) | 5Fr ureteral catheter G15944 (HA 1) | 10cc syringe (HA 1) | 3cc syringe (HA 1) | C-arm drape (1013) (OPEN) | 4cm 30-French Balloon M0062251050 (HA) | 12cm 30-French Balloon (HA) | Encore Inflation Device M0067101140 (HA) | Optilume Dilator (HA)","Meds: 1,000mL bag of H2O, Lube (HA), Omnipaque (Do not mix/dilute)","Dr. Figler Cell: 216-339-0230"
"PHALLO_UNC_1","P1","Phalloplasty (Stage 1) - UNCSH","Gender Affirming","M-84677, M-76028","11/20/25","Antibiotic: Per plastics | Confirm SCDs in place & functioning","Major instructions per plastic surgery | 2 pillows | Laparotomy drape","Standard reconstructive instruments per plastic surgery & uro team","None","Uro Minor | Neptune on high","Shave with clippers and blue razor | Chloraprep (2) | Cut/Coag/Bipolar: 30/30/20 | Music: Volume 40%, doc computer at 100%","Laparotomy drape (OPEN) | Blue sticks x 4 (OPEN) | 4-0 vicryl SH (3) (OPEN) | Vessel loops (OPEN) | Stapler (1) (OPEN) | 16Fr Foley (HA 1) | Bipolar cord (HA) | Bayonet insulated bipolar #20-13701 Lawson 013263 (HA) | Needle tip bovie #E1651 Lawson 100014 (HA) | Clips, small | Gelpi | Ligasure small jaw | Ioban cut into 3in strips","Dressing: Kerlix (3-4), Mesh panties or jock strap (based on size, HA), Kling (1), Xeroform 5x9 (2)","Dr. Figler Cell: 216-339-0230"
"PHALLO_UNC_ONE","P-ONE","Phalloplasty (One Stage) - UNCSH","Gender Affirming","M-84677, M-76028","11/20/25","Antibiotic: Per plastics | Confirm SCDs in place & functioning","Major instructions per plastic surgery | 2 pillows | Laparotomy drape","Standard reconstructive instruments per plastic surgery & uro team","None","Uro Minor | Neptune on high","Shave with clippers and blue razor | Chloraprep (2) | Cut/Coag/Bipolar: 30/30/20 | Music: Volume 40%, doc computer at 100%","Laparotomy drape (OPEN) | Blue sticks x 4 (OPEN) | 4-0 vicryl SH (3) (OPEN) | Vessel loops (OPEN) | Stapler (1) (OPEN) | 16Fr Foley (HA 1) | Bipolar cord (HA) | Bayonet insulated bipolar #20-13701 Lawson 013263 (HA) | Needle tip bovie #E1651 Lawson 100014 (HA) | Clips, small | Gelpi | Ligasure small jaw | Ioban cut into 3in strips | Suprapubic tube: One step introducer G26655, 11 blade, 20g spinal needle (yellow), 16 Foley/bag, 10mL syringe (2)","Dressing: Kerlix (3-4), Mesh panties or jock strap (based on size, HA), Kling (1), Xeroform 5x9 (2)","Dr. Figler Cell: 216-339-0230"
