"Card_Number","Card_Name","Category","Item_Name","Pull_Qty","Open_Qty","PRN_Qty","Unit","Lawson_Number","Bin_Location","Notes"
"M-68103","ARTIFICIAL URINARY SPHINCTER  - FIGLER, B","Supply / Disposable",", 00848340000003Decanter Bag Ca/50 O-00174110-102","1","0","1","EA","","HBROR - A5C3-37052155","Required"
"M-68103","ARTIFICIAL URINARY SPHINCTER  - FIGLER, B","Supply / Disposable",", 10885380107979Drape Cover Mayo Stand 30/Ca8337","1","0","1","EA","","HBROR - A5C5-8002056","Required"
"M-68103","ARTIFICIAL URINARY SPHINCTER  - FIGLER, B","Supply / Disposable",", 00707387507343DRAPE IOBAN STERI INCISE SM 35CM X 35CM 10EA/","2","2","0","BX","","HBROR - A5C6-19000416","Required"
"M-68103","ARTIFICIAL URINARY SPHINCTER  - FIGLER, B","Supply / Disposable","0EZ","6","6","4","EA","","","Required"
"M-68103","ARTIFICIAL URINARY SPHINCTER  - FIGLER, B","Supply / Disposable",", 10705031203532Adhesive Skin Dermabond Advanc D 12/Bx O 128446 N-389DNX12","2","1","1","EA","","HBROR - A6C2-32051163","Required"
"M-68103","ARTIFICIAL URINARY SPHINCTER  - FIGLER, B","Supply / Disposable",", 00878953004938KIT ACCESSORY AMS 800 SPHINCTER URINARY CONTROL SYS 720066-01","1","1","0","EA","","HBROR392556Dispenser Foam Pump 4oz Hibicl Ens57541EA110HBROR448590PACK MINOR UROLOGYDYNJT7137EA110HBROR007346","Required"
"M-68103","ARTIFICIAL URINARY SPHINCTER  - FIGLER, B","Supply / Disposable",", 00888937015638Stay Surgical Elastic Single H Ook 12mm Yellow3350-1G","2","0","2","EA","","HBROR014782","Required"
"M-68103","ARTIFICIAL URINARY SPHINCTER  - FIGLER, B","Supply / Disposable",", 10705031054370Sut Vicryl Plus 2-0 Violet Ur- 6 Ndl 27in Vcp602hVCP602H","2","1","1","EA","","HBROR025070","Required"
"M-68103","ARTIFICIAL URINARY SPHINCTER  - FIGLER, B","Supply / Disposable",", 10884521709874COVER WAND RF DETECTABLE ST01-0020","1","0","1","EA","","HBROR025178","Required"
"M-68103","ARTIFICIAL URINARY SPHINCTER  - FIGLER, B","Supply / Disposable","/3 Towels127338A","1","1","0","EA","","HBROR032790Pack 4 Gown W","Required"
"M-68103","ARTIFICIAL URINARY SPHINCTER  - FIGLER, B","Supply / Disposable","/CA S-317945/444131 2F7114","0","0","0","EA","","HBROR032867Glove Dpc Latex Free Biogel GLVDPC1EA000HBROR032869Glove Dpc Duraprene Plus PfGLVDPC3EA000HBROR032870Glove Dpc Pi ProtexisGLVDPC4EA000HBROR032871Glove Dpc Ortho ProtexisGLVDPC5EA000HBROR032872Glove Dpc Blue ProtexisGLVDPC6EA000HBROR032873Glove Dpc Micro ProtexisGLVDPC7EA110HBROR051941SOLN IRRIG H2O ST 1000ML BTL 12","PRN / Inactive"
"M-68103","ARTIFICIAL URINARY SPHINCTER  - FIGLER, B","Supply / Disposable",", 20080196692955Sponge Super Prep 6x6.75 O-002328NON25854","1","1","0","EA","","HBROR052795SLEEVE SCD KNEE LENGTH MED 21IN BLENDED EXPRESS KENDA9529BPR330HBROR053921Chloraprep 26ml Orng St O-050864930815EA110HBROR054986","Required"
"M-68103","ARTIFICIAL URINARY SPHINCTER  - FIGLER, B","Supply / Disposable",", 80080196288419Legging Lithotomy Convt R-002147DYNJP2461","1","1","0","EA","","HBROR220255","Required"
"M-68103","ARTIFICIAL URINARY SPHINCTER  - FIGLER, B","Supply / Disposable",", 00707387775162Blanket Upper Body R-00137442234","1","1","0","EA","","HBROR224118","Required"
"M-68103","ARTIFICIAL URINARY SPHINCTER  - FIGLER, B","Supply / Disposable",", 10888277107465Tip Suction Yankau Std On OffOR164","1","1","0","EA","","HBROR266357","Required"
"M-68103","ARTIFICIAL URINARY SPHINCTER  - FIGLER, B","Supply / Disposable",", 00801741029509BAG DRAINAGE URINE 2000ML 48IN TUBE ANTI REFLUX CHAMB154002","1","0","1","EA","","HBROR315222","Required"
"M-68103","ARTIFICIAL URINARY SPHINCTER  - FIGLER, B","Supply / Disposable",", 10192253Drsg Gauze 5x9 St Xeroform R-0533978884433605","1","1","0","EA","","HBROR315421","Required"
"M-68103","ARTIFICIAL URINARY SPHINCTER  - FIGLER, B","Supply / Disposable","HBROR341292, 10080196739714Drape Surg 77x53in Fanfold Rei Nforced AuroraDYNJP2414","0","4","7","EA","868220","","Required"
"M-68103","ARTIFICIAL URINARY SPHINCTER  - FIGLER, B","Supply / Disposable",", 10080196998593Tray Skin Prep O-000455DYND70661","1","1","0","EA","","HBROR347533","Required"
"M-68103","ARTIFICIAL URINARY SPHINCTER  - FIGLER, B","Supply / Disposable",", 00801741029738Cath Foley Silc 12fr 5ml Ball 12/Ca N-001478165812","1","0","1","EA","","HBROR356599","Required"
"M-68103","ARTIFICIAL URINARY SPHINCTER  - FIGLER, B","Supply / Disposable",", 10885380142994Drape Lithotomy 35x44x102in Lf St Disp29455","1","1","0","EA","","HBROR357149","Required"
"M-68103","ARTIFICIAL URINARY SPHINCTER  - FIGLER, B","Supply / Disposable",", 10080196745500Cover Table 44x90 R-002057DYNJP2311","1","0","1","EA","","HBROR362962","Required"
"M-68103","ARTIFICIAL URINARY SPHINCTER  - FIGLER, B","Supply / Disposable",", 00801741074141TRAY CATH FOLEY 16FR 5CC BALLOON DRAIN BAG PVC SURESTA947316","1","1","0","EA","","HBROR386430","Required"
"M-68103","ARTIFICIAL URINARY SPHINCTER  - FIGLER, B","Supply / Disposable",", 10888277407947Instr Yankauer Open Tip W/O Ve Nt StOR87","1","1","0","EA","","HBROR395028","Required"
"M-68103","ARTIFICIAL URINARY SPHINCTER  - FIGLER, B","Supply / Disposable",", 10080196845095DRESSING GAUZE ROLL 3.4INX3.6YD 6 PLY COTTON LF ST BUNON25861","2","2","0","EA","","HBROR422025","Required"
"M-68103","ARTIFICIAL URINARY SPHINCTER  - FIGLER, B","Supply / Disposable",", 00197344103662SUPPORT SCROTAL LARGE ATHLETIC ADJUSTABLE WAISTBAND RORT2240L","1","1","0","EA","","HBROR449327","Required"
"M-68103","ARTIFICIAL URINARY SPHINCTER  - FIGLER, B","Drug / Medication","OR injection builder (0 mL)","1","0","1","EA","","Pharmacy","PRN"
"M-68103","ARTIFICIAL URINARY SPHINCTER  - FIGLER, B","Drug / Medication","bupivacaine 0.25%-EPINEPHrine 1:200,000 (MARCAINE-PF w/EPI) injection (30 mL)","1","0","1","EA","","Pharmacy","PRN"
"M-68103","ARTIFICIAL URINARY SPHINCTER  - FIGLER, B","Drug / Medication","gentamicin injection 40 mg/mL (6 mL)","3","3","0","EA","","Pharmacy","Open"
"M-68103","ARTIFICIAL URINARY SPHINCTER  - FIGLER, B","Drug / Medication","sodium chloride 0.9 % bacteriostatic injection (250 mL)","1","1","0","EA","","Pharmacy","Open"
"M-68103","ARTIFICIAL URINARY SPHINCTER  - FIGLER, B","Drug / Medication","sterile water for irrigation (1,000 mL)","1","1","0","EA","","Pharmacy","Open"
"M-68103","ARTIFICIAL URINARY SPHINCTER  - FIGLER, B","Capital Equipment","Console RFID","1","1","0","EA","","OR Room / Core","Required: Yes"
"M-68103","ARTIFICIAL URINARY SPHINCTER  - FIGLER, B","Capital Equipment","ESU","1","1","0","EA","","OR Room / Core","Required: Yes"
"M-68103","ARTIFICIAL URINARY SPHINCTER  - FIGLER, B","Capital Equipment","Headlight","1","1","0","EA","","OR Room / Core","Required: Yes"
"M-68103","ARTIFICIAL URINARY SPHINCTER  - FIGLER, B","Capital Equipment","Sequential Compression Device","1","1","0","EA","","OR Room / Core","Required: Yes"
"M-68103","ARTIFICIAL URINARY SPHINCTER  - FIGLER, B","Capital Equipment","Suction Neptune","1","1","0","EA","","OR Room / Core","Required: Yes"
"M-68103","ARTIFICIAL URINARY SPHINCTER  - FIGLER, B","Capital Equipment","Video Tower","1","1","0","EA","","OR Room / Core","Required: Yes"
"M-68103","ARTIFICIAL URINARY SPHINCTER  - FIGLER, B","Capital Equipment","Warmer Forced Air","1","1","0","EA","","OR Room / Core","Required: Yes"
"M-75976","BUCCAL GRAFT - FIGLER, B","Instrument / Tray","HBR URO Buccal","1","1","0","TRAY","","Sterile Processing / Core","Required: Yes"
"M-68363","CIRCUMCISION/ MEATOTOMY - FIGLER, B","Supply / Disposable",", 10884524000077Pad Ground Electrode Adl 30lb D-319853-026613 R-01420E7507","1","1","0","EA","","HBROR - A3C1-41100642","Required"
"M-68363","CIRCUMCISION/ MEATOTOMY - FIGLER, B","Supply / Disposable",", 10884524000053Pencil Cautery Electrosurg W/Holster 50/CaE2516H","1","1","0","EA","","HBROR - A3C1-6050934","Required"
"M-68363","CIRCUMCISION/ MEATOTOMY - FIGLER, B","Supply / Disposable",", 10705031037441SUT CHROMIC 3-0 SH NDL 27IN G122H 36PK/BXG122H","1","1","0","EA","","HBROR - A4C6-39000572","Required"
"M-68363","CIRCUMCISION/ MEATOTOMY - FIGLER, B","Supply / Disposable",", 10884521709874COVER WAND RF DETECTABLE ST01-0020","1","1","0","EA","","HBROR448590PACK MINOR UROLOGYDYNJT7137EA101HBROR025178","Required"
"M-68363","CIRCUMCISION/ MEATOTOMY - FIGLER, B","Supply / Disposable","/3 Towels127338A","1","1","0","EA","","HBROR032790Pack 4 Gown W","Required"
"M-68363","CIRCUMCISION/ MEATOTOMY - FIGLER, B","Supply / Disposable",", 10705031053014SUT COATED VICRYL PLUS 3-0 SH 27 BX/36 R-000784VCP416H","0","0","0","EA","","HBROR032867Glove Dpc Latex Free Biogel GLVDPC1EA000HBROR032869Glove Dpc Duraprene Plus PfGLVDPC3EA000HBROR032870Glove Dpc Pi ProtexisGLVDPC4EA000HBROR032871Glove Dpc Ortho ProtexisGLVDPC5EA000HBROR032872Glove Dpc Blue ProtexisGLVDPC6EA000HBROR032873Glove Dpc Micro ProtexisGLVDPC7EA220HBROR050712","PRN / Inactive"
"M-68363","CIRCUMCISION/ MEATOTOMY - FIGLER, B","Supply / Disposable","/CA S-317945/444131 2F7114","1","1","0","EA","","HBROR051941SOLN IRRIG H2O ST 1000ML BTL 12","Required"
"M-68363","CIRCUMCISION/ MEATOTOMY - FIGLER, B","Supply / Disposable",", 20080196692955Sponge Super Prep 6x6.75 O-002328NON25854","1","1","0","EA","","HBROR052795SLEEVE SCD KNEE LENGTH MED 21IN BLENDED EXPRESS KENDA9529BPR110HBROR054986","Required"
"M-68363","CIRCUMCISION/ MEATOTOMY - FIGLER, B","Supply / Disposable",", 10080196723140Drape Surg 121x102x78in Lap TDYNJP3003","1","1","0","EA","","HBROR218815","Required"
"M-68363","CIRCUMCISION/ MEATOTOMY - FIGLER, B","Supply / Disposable",", 00707387775162Blanket Upper Body R-00137442234","1","1","0","EA","","HBROR224118","Required"
"M-68363","CIRCUMCISION/ MEATOTOMY - FIGLER, B","Supply / Disposable",", 10888277107465Tip Suction Yankau Std On OffOR164","1","1","0","EA","","HBROR266357","Required"
"M-68363","CIRCUMCISION/ MEATOTOMY - FIGLER, B","Supply / Disposable",", 10080196692378Dressing Roll Sof-Form 2in 12/Bx R-002004NON25496","1","1","0","EA","","HBROR341740","Required"
"M-68363","CIRCUMCISION/ MEATOTOMY - FIGLER, B","Drug / Medication","OR injection builder (0 mL)","1","0","1","EA","","Pharmacy","PRN"
"M-68363","CIRCUMCISION/ MEATOTOMY - FIGLER, B","Drug / Medication","bacitracin ointment1 application.11bupivacaine (MARCAINE-PF) injection 0.25% (1 mg)","2","1","1","EA","","Pharmacy","Open"
"M-68363","CIRCUMCISION/ MEATOTOMY - FIGLER, B","Capital Equipment","Console RFID","1","1","0","EA","","OR Room / Core","Required: Yes"
"M-68363","CIRCUMCISION/ MEATOTOMY - FIGLER, B","Capital Equipment","ESU","1","1","0","EA","","OR Room / Core","Required: Yes"
"M-68363","CIRCUMCISION/ MEATOTOMY - FIGLER, B","Capital Equipment","Sequential Compression Device","1","1","0","EA","","OR Room / Core","Required: Yes"
"M-68363","CIRCUMCISION/ MEATOTOMY - FIGLER, B","Capital Equipment","Suction Neptune","1","1","0","EA","","OR Room / Core","Required: Yes"
"M-68363","CIRCUMCISION/ MEATOTOMY - FIGLER, B","Capital Equipment","Warmer Forced Air","1","1","0","EA","","OR Room / Core","Required: Yes"
"M-68363","CIRCUMCISION/ MEATOTOMY - FIGLER, B","Instrument / Tray","HBR URO Urology Minor","1","1","0","TRAY","","Sterile Processing / Core","Required: Yes"
"M-81955","CYSTECTOMY W/WO ILEO-CONDUIT - FIGLER, B","Supply / Disposable",", 10884524000077Pad Ground Electrode Adl 30lb D-319853-026613 R-01420E7507","1","1","0","EA","","HBROR - A3C1-41100642","Required"
"M-81955","CYSTECTOMY W/WO ILEO-CONDUIT - FIGLER, B","Supply / Disposable",", 10884521612525Ligasure Impact Seal/Di 6ea/Bx D-380024LF4418","1","1","0","EA","","HBROR - A3C2-1026617","Required"
"M-81955","CYSTECTOMY W/WO ILEO-CONDUIT - FIGLER, B","Supply / Disposable",", 00801741049569EVACUATOR SUCTION 100ML 10/BX D-2244810070740","1","1","0","EA","","HBROR - A3C3-15001712","Required"
"M-81955","CYSTECTOMY W/WO ILEO-CONDUIT - FIGLER, B","Supply / Disposable",", 10885403473142Blade Clipper 50/Ca O-0004394406","1","1","0","EA","","HBROR - A3C4-17051873","Required"
"M-81955","CYSTECTOMY W/WO ILEO-CONDUIT - FIGLER, B","Supply / Disposable",", 00610075198634Kit Urostomy 2 1/4 St 5/Bx O-05106819503","1","1","0","EA","","HBROR - A3C5-41051871","Required"
"M-81955","CYSTECTOMY W/WO ILEO-CONDUIT - FIGLER, B","Supply / Disposable","/O Cover 200/CaT60764","1","1","0","EA","","HBROR - A3C6-2000034Cont Plastic 64oz W","Required"
"M-81955","CYSTECTOMY W/WO ILEO-CONDUIT - FIGLER, B","Supply / Disposable",".47INL607","1","1","0","EA","","HBROR - A3C6-3000061LID CONTAINER 41IN ROUND 1 SEAL INJECTION MOLD 6","Required"
"M-81955","CYSTECTOMY W/WO ILEO-CONDUIT - FIGLER, B","Supply / Disposable",", 10705031017061SUT PROLENE 4-0 RB-1 RB-1 36IN 8557H 36PK/","3","3","0","BX","","HBROR - A4C4-11000646","Required"
"M-81955","CYSTECTOMY W/WO ILEO-CONDUIT - FIGLER, B","Supply / Disposable","7H","8","5","5","EA","","","Required"
"M-81955","CYSTECTOMY W/WO ILEO-CONDUIT - FIGLER, B","Supply / Disposable",", 10705031002173SUT ETHILON 2-0 PSLX 30IN 36PK/BX D-3400681697H","1","1","0","EA","","HBROR - A4C4-30000638","Required"
"M-81955","CYSTECTOMY W/WO ILEO-CONDUIT - FIGLER, B","Supply / Disposable",", 10705031060623SUT 0 CT-1 PDS II 27IN VIL MO NO 36/BX O-050703Z340H","2","2","0","EA","","HBROR - A4C4-41000721","Required"
"M-81955","CYSTECTOMY W/WO ILEO-CONDUIT - FIGLER, B","Supply / Disposable",", 10705031039018SUT 2-0 CT-1 VIO BRD SA 27IN COATED VICRYL 36/BX O-05J339H","3","3","0","EA","","HBROR - A4C5-26000749","Required"
"M-81955","CYSTECTOMY W/WO ILEO-CONDUIT - FIGLER, B","Supply / Disposable",", 10705031038752SUT VICRYL 2-0 SH NDL 27IN 36/BX O-050708J317H","3","3","0","EA","","HBROR - A4C5-33000783","Required"
"M-81955","CYSTECTOMY W/WO ILEO-CONDUIT - FIGLER, B","Supply / Disposable",", 10705031039643Sut Vicryl 4-0 Sh Ndl 27in Undyed J415hJ415H","5","5","0","EA","","HBROR - A4C6-10004653","Required"
"M-81955","CYSTECTOMY W/WO ILEO-CONDUIT - FIGLER, B","Supply / Disposable",", 10705031038226Sut Vicryl 4-0 Rb-1 Ndl 27in U Ndyed J214h 36pk/Bx J214H","6","0","6","EA","","HBROR - A4C6-14017451","Required"
"M-81955","CYSTECTOMY W/WO ILEO-CONDUIT - FIGLER, B","Supply / Disposable",", 10705031051133Sut Chromic 4-0 Rb-1ndl 27in U 203h 36pk/BxU203H","2","2","0","EA","","HBROR - A4C6-42017379","Required"
"M-81955","CYSTECTOMY W/WO ILEO-CONDUIT - FIGLER, B","Supply / Disposable",", 10705031042919SUT 3-0 VIO BRD 8-18IN SA SH CR COATED VICRYL 12/BX OJ774D","2","2","0","EA","","HBROR - A4C6-9000722","Required"
"M-81955","CYSTECTOMY W/WO ILEO-CONDUIT - FIGLER, B","Supply / Disposable",", 10705031023420Sut Silk 3-0 Sh Ndl Cr 8-18inc 013d 12pk/BxC013D","2","2","0","EA","","HBROR - A5C1-19017374","Required"
"M-81955","CYSTECTOMY W/WO ILEO-CONDUIT - FIGLER, B","Supply / Disposable",", 24026704696363HEMOCLIP LIGATING TITAN MED HORIZON 6/PK 30PK/","2","2","0","BX","","HBROR - A5C2-28000319","Required"
"M-81955","CYSTECTOMY W/WO ILEO-CONDUIT - FIGLER, B","Supply / Disposable","200","0","0","2","EA","","","PRN / Inactive"
"M-81955","CYSTECTOMY W/WO ILEO-CONDUIT - FIGLER, B","Supply / Disposable",", 24026704696387HEMOCLIP LIGATING TITANIUM LG HORIZON 6/PK 20PK/BX 004200","0","0","0","EA","","HBROR - A5C2-30000320","PRN / Inactive"
"M-81955","CYSTECTOMY W/WO ILEO-CONDUIT - FIGLER, B","Supply / Disposable",", 00382903096534SYRINGE 50ML LL 40/BX 4BX/","1","1","0","CA","","HBROR - A5C3-3000610","Required"
"M-81955","CYSTECTOMY W/WO ILEO-CONDUIT - FIGLER, B","Supply / Disposable","653","3","0","9","EA","","","Required"
"M-81955","CYSTECTOMY W/WO ILEO-CONDUIT - FIGLER, B","Supply / Disposable",", 10705031043671SUT 0 CT-1 UND BRD SA 36IN COATED VICRYL 36/BX O-0507J946H","6","6","0","EA","","HBROR - A5C5-90000756","Required"
"M-81955","CYSTECTOMY W/WO ILEO-CONDUIT - FIGLER, B","Supply / Disposable",", 00707387507350DRAPE STERI INCISE LG 60X45CM IOBAN 10EA/BX D-355296 6650EZ","1","1","0","EA","","HBROR - A5C6-20000415","Required"
"M-81955","CYSTECTOMY W/WO ILEO-CONDUIT - FIGLER, B","Supply / Disposable",", 10884521700956Sponge Lap Rfd 18x18 Str 5/Pk 40pk/Ca S-INST-0631-118L1818-04P01C-1","4","2","2","PK","","HBROR - A6C1-11050697","Required"
"M-81955","CYSTECTOMY W/WO ILEO-CONDUIT - FIGLER, B","Supply / Disposable",", 10884521065413Drsg Adhesive 4x8 25ea/Bx 100/Ca S-2242037541","1","1","0","EA","","HBROR - A6C2-9002418","Required"
"M-81955","CYSTECTOMY W/WO ILEO-CONDUIT - FIGLER, B","Supply / Disposable",", 00827002147799Stent Sof-Flex 7frx75cm Ureteral Bander Right Ureter G14779","1","1","0","EA","","HBROR002824","Required"
"M-81955","CYSTECTOMY W/WO ILEO-CONDUIT - FIGLER, B","Supply / Disposable",", 00827002147805Stent Ureteral Bander 7fr Lt X75cmG14780","1","1","0","EA","","HBROR002825","Required"
"M-81955","CYSTECTOMY W/WO ILEO-CONDUIT - FIGLER, B","Supply / Disposable",", 10705031060371Sut Pds Ii 4-0 Rb-1 Ndl 27in Z 304h 36pk/BxZ304H","5","5","0","EA","","HBROR017405","Required"
"M-81955","CYSTECTOMY W/WO ILEO-CONDUIT - FIGLER, B","Supply / Disposable",", 10705031039117Sut Vicryl 0 Ct-1 Ndl 36in J34 6h 36pk/BxJ346H","1","1","0","EA","","HBROR017452","Required"
"M-81955","CYSTECTOMY W/WO ILEO-CONDUIT - FIGLER, B","Supply / Disposable",", 10884523003543Stapler Endo Gia Universal StdEGIAUSTND","0","0","0","EA","","HBROR023045","PRN / Inactive"
"M-81955","CYSTECTOMY W/WO ILEO-CONDUIT - FIGLER, B","Supply / Disposable",", 10884521709874COVER WAND RF DETECTABLE ST01-0020","1","0","1","EA","","HBROR025178","Required"
"M-81955","CYSTECTOMY W/WO ILEO-CONDUIT - FIGLER, B","Supply / Disposable",", 10884523007251Reload Gia 80mm 3.8 BluGIA8038L","1","1","0","EA","","HBROR027595","Required"
"M-81955","CYSTECTOMY W/WO ILEO-CONDUIT - FIGLER, B","Supply / Disposable",", 10884523007268Stapler Gia 80mm 3.8 BluGIA8038S","1","1","0","EA","","HBROR027596","Required"
"M-81955","CYSTECTOMY W/WO ILEO-CONDUIT - FIGLER, B","Supply / Disposable",", 10885380182617Drain Blake 15fr W/TrocarJP-2229","1","1","0","EA","","HBROR029074","Required"
"M-81955","CYSTECTOMY W/WO ILEO-CONDUIT - FIGLER, B","Supply / Disposable","/3 Towels127338A","1","1","0","EA","","HBROR032790Pack 4 Gown W","Required"
"M-81955","CYSTECTOMY W/WO ILEO-CONDUIT - FIGLER, B","Supply / Disposable","/CA S-317945/444131 2F7114","0","0","0","EA","","HBROR032867Glove Dpc Latex Free Biogel GLVDPC1EA000HBROR032869Glove Dpc Duraprene Plus PfGLVDPC3EA000HBROR032870Glove Dpc Pi ProtexisGLVDPC4EA000HBROR032871Glove Dpc Ortho ProtexisGLVDPC5EA000HBROR032872Glove Dpc Blue ProtexisGLVDPC6EA000HBROR032873Glove Dpc Micro ProtexisGLVDPC7EA110HBROR051941SOLN IRRIG H2O ST 1000ML BTL 12","PRN / Inactive"
"M-81955","CYSTECTOMY W/WO ILEO-CONDUIT - FIGLER, B","Supply / Disposable",", 00801741029776Cath Foley Sil 20fr 5ml Bal 2w S-226444165820","1","1","0","EA","","HBROR052795SLEEVE SCD KNEE LENGTH MED 21IN BLENDED EXPRESS KENDA9529BPR110HBROR105477","Required"
"M-81955","CYSTECTOMY W/WO ILEO-CONDUIT - FIGLER, B","Supply / Disposable",", 00810019800344Pack Gown Lp Xlg W/Towel D-003997-385507614000","2","2","0","EA","","HBROR125010","Required"
"M-81955","CYSTECTOMY W/WO ILEO-CONDUIT - FIGLER, B","Supply / Disposable",", 10080196751839Dressing 2x2 Island R-002417MSC3222","1","1","0","EA","","HBROR232221","Required"
"M-81955","CYSTECTOMY W/WO ILEO-CONDUIT - FIGLER, B","Supply / Disposable",", 10195327016777PACK PROCEDURE UROLOGY CUSTOM STERILEDYNJ80252","1","1","0","EA","","HBROR239076","Required"
"M-81955","CYSTECTOMY W/WO ILEO-CONDUIT - FIGLER, B","Supply / Disposable",", 00801741029509BAG DRAINAGE URINE 2000ML 48IN TUBE ANTI REFLUX CHAMB154002","1","1","0","EA","","HBROR315222","Required"
"M-81955","CYSTECTOMY W/WO ILEO-CONDUIT - FIGLER, B","Supply / Disposable",", 10080196745500Cover Table 44x90 R-002057DYNJP2311","1","1","0","EA","","HBROR362962","Required"
"M-81955","CYSTECTOMY W/WO ILEO-CONDUIT - FIGLER, B","Drug / Medication","OR injection builder (0 mL)","1","0","1","EA","","Pharmacy","PRN"
"M-81955","CYSTECTOMY W/WO ILEO-CONDUIT - FIGLER, B","Capital Equipment","Console RFID","1","1","0","EA","","OR Room / Core","Required: Yes"
"M-81955","CYSTECTOMY W/WO ILEO-CONDUIT - FIGLER, B","Capital Equipment","ESU","1","1","0","EA","","OR Room / Core","Required: Yes"
"M-81955","CYSTECTOMY W/WO ILEO-CONDUIT - FIGLER, B","Capital Equipment","Generator Ligasure","1","1","0","EA","","OR Room / Core","Required: Yes"
"M-81955","CYSTECTOMY W/WO ILEO-CONDUIT - FIGLER, B","Capital Equipment","Sequential Compression Device","1","1","0","EA","","OR Room / Core","Required: Yes"
"M-81955","CYSTECTOMY W/WO ILEO-CONDUIT - FIGLER, B","Capital Equipment","Warmer Forced Air","1","1","0","EA","","OR Room / Core","Required: Yes"
"M-81955","CYSTECTOMY W/WO ILEO-CONDUIT - FIGLER, B","Instrument / Tray","HBR GEN Bookwalter Retractor A","1","1","0","TRAY","","Sterile Processing / Core","Required: Yes"
"M-81955","CYSTECTOMY W/WO ILEO-CONDUIT - FIGLER, B","Instrument / Tray","HBR GEN Bookwalter Retractor B","1","1","0","TRAY","","Sterile Processing / Core","Required: Yes"
"M-81955","CYSTECTOMY W/WO ILEO-CONDUIT - FIGLER, B","Instrument / Tray","HBR GEN Hemolok Clip Applier","1","1","0","TRAY","","Sterile Processing / Core","Required: Yes"
