"Card_Number","Card_Name","Location","Service","Last_Reviewed"
"M-83509","METOIDIOPLASTY SECOND STAGE WITH IMPLANTS - FIGLER, B","HBR Hospital OR UNCH","Surgeon: FIGLER, BRADLEY DAVIDPref Card Name: METOIDIOPLASTY SECOND STAGE WITH IMPLANTS - FIGLER, BLast Reviewed: 02/16/2026","02/16/2026"
"M-83968","VAGINOPLASTY/VULVOPLASTY - FIGLER, B","HBR Hospital OR UNCH","Surgeon: FIGLER, BRADLEY DAVIDPref Card Name: VAGINOPLASTY/VULVOPLASTY - FIGLER, BLast Reviewed: 02/16/2026","02/16/2026"
"M-83975","CYSTOCONCOMITANT- FIGLER, B","HBR Hospital OR UNCH","Surgeon: FIGLER, BRADLEY DAVIDPref Card Name: CYSTOCONCOMITANT- FIGLER, BLast Reviewed: 02/16/2026","02/16/2026"
"M-84075","PENILE PROSTHESIS REMOVAL - FIGLER, B","HBR Hospital OR UNCH","Surgeon: FIGLER, BRADLEY DAVIDPref Card Name: PENILE PROSTHESIS REMOVAL - FIGLER, BLast Reviewed: 02/16/2026","02/16/2026"
"M-84076","PENILE PROSTHESIS REMOVE/REPLACE - FIGLER, B","HBR Hospital OR UNCH","Surgeon: FIGLER, BRADLEY DAVIDPref Card Name: PENILE PROSTHESIS REMOVE/REPLACE - FIGLER, BLast Reviewed: 02/16/2026","02/16/2026"
"M-84077","PENILE PROSTHESIS REPAIR - FIGLER, B","HBR Hospital OR UNCH","Surgeon: FIGLER, BRADLEY DAVIDPref Card Name: PENILE PROSTHESIS REPAIR - FIGLER, BLast Reviewed: 02/16/2026","02/16/2026"
"M-84079","URETHRAL DILATION/RUG - FIGLER, B","HBR Hospital OR UNCH","Surgeon: FIGLER, BRADLEY DAVIDPref Card Name: URETHRAL DILATION/RUG - FIGLER, BLast Reviewed: 02/16/2026","02/16/2026"
"M-90614","DEBRIDEMENT, OPEN WOUND, INC TOPICAL APPLICATION, WOUND ASSESSMENT","HBR Hospital OR UNCH","Surgeon: FIGLER, BRADLEY DAVIDPref Card Name: DEBRIDEMENT, OPEN WOUND, INC TOPICAL APPLICATION, WOUND ASSESSMENTLast Reviewed: 02/16/2026","02/16/2026"
"M-90889","POST PHALLO IPP - FIGLER, B","HBR Hospital OR UNCH","Surgeon: FIGLER, BRADLEY DAVIDPref Card Name: POST PHALLO IPP - FIGLER, BLast Reviewed: 02/16/2026","02/16/2026"
"M-91325","VAGINOPLASTY STAGE II - FIGLER, B","HBR Hospital OR UNCH","Surgeon: FIGLER, BRADLEY DAVIDPref Card Name: VAGINOPLASTY STAGE II - FIGLER, BLast Reviewed: 02/16/2026","02/16/2026"
"M-91800","PUBECTOMY- FIGLER, B","HBR Hospital OR UNCH","Surgeon: FIGLER, BRADLEY DAVIDPref Card Name: PUBECTOMY- FIGLER, BLast Reviewed: 02/16/2026","02/16/2026"
"M-94335","VAGINAL DILATION - FIGLER, B","HBR Hospital OR UNCH","Surgeon: FIGLER, BRADLEY DAVIDPref Card Name: VAGINAL DILATION - FIGLER, BLast Reviewed: 02/16/2026","02/16/2026"
"M-107797","VULVOPLASTY - FIGLER, B","HBR Hospital OR UNCH","Surgeon: FIGLER, BRADLEY DAVIDPref Card Name: VULVOPLASTY - FIGLER, BLast Reviewed: 02/16/2026","02/16/2026"
"M-110989","OPTILUME - FIGLER, B","HBR Hospital OR UNCH","Surgeon: FIGLER, BRADLEY DAVIDPref Card Name: OPTILUME - FIGLER, BLast Reviewed:",""
